,between_days,c_recordOnDays
2309,2017-04-28,106
2310,2017-04-29,106
2311,2017-04-30,106
2312,2017-05-01,106
2313,2017-05-02,106
2314,2017-05-03,106
2315,2017-05-04,106
2316,2017-05-05,106
2317,2017-05-06,106
2318,2017-05-07,106
2319,2017-05-08,106
2320,2017-05-09,106
2321,2017-05-10,106
2322,2017-05-11,106
2323,2017-05-12,106
2324,2017-05-13,106
2325,2017-05-14,106
2326,2017-05-15,106
2327,2017-05-16,106
2328,2017-05-17,
2329,2017-05-18,
2330,2017-05-19,
2331,2017-05-20,
2332,2017-05-21,
2333,2017-05-22,
2334,2017-05-23,
2335,2017-05-24,
2336,2017-05-25,
2337,2017-05-26,
2338,2017-05-27,
2339,2017-05-28,
2340,2017-05-29,
2341,2017-05-30,
2342,2017-05-31,
2557,2018-01-01,
2558,2018-01-02,
2559,2018-01-03,
2560,2018-01-04,
2561,2018-01-05,
2562,2018-01-06,
2563,2018-01-07,
2564,2018-01-08,
2565,2018-01-09,
2566,2018-01-10,
2567,2018-01-11,
2568,2018-01-12,
2569,2018-01-13,
2570,2018-01-14,
2571,2018-01-15,
2572,2018-01-16,
2573,2018-01-17,
2574,2018-01-18,
2575,2018-01-19,
2576,2018-01-20,
2577,2018-01-21,
2578,2018-01-22,
2579,2018-01-23,
2580,2018-01-24,
2581,2018-01-25,
2582,2018-01-26,
2583,2018-01-27,
2584,2018-01-28,
2585,2018-01-29,
2586,2018-01-30,
2587,2018-01-31,
2588,2018-02-01,
2589,2018-02-02,
2590,2018-02-03,
2591,2018-02-04,
2592,2018-02-05,
2593,2018-02-06,
2594,2018-02-07,
2595,2018-02-08,
2596,2018-02-09,
2597,2018-02-10,
2598,2018-02-11,
2599,2018-02-12,
2600,2018-02-13,106
2601,2018-02-14,106
2602,2018-02-15,106
2603,2018-02-16,106
2604,2018-02-17,106
2605,2018-02-18,106
2606,2018-02-19,106
2607,2018-02-20,106
2608,2018-02-21,106
2609,2018-02-22,106
2610,2018-02-23,106
2611,2018-02-24,106
2612,2018-02-25,106
2613,2018-02-26,106
2614,2018-02-27,106
2615,2018-02-28,106
2616,2018-03-01,106
2617,2018-03-02,106
2618,2018-03-03,106
2619,2018-03-04,106
2620,2018-03-05,106
2621,2018-03-06,106
2622,2018-03-07,106
2623,2018-03-08,106
2624,2018-03-09,106
2625,2018-03-10,106
2626,2018-03-11,106
2627,2018-03-12,106
2628,2018-03-13,106
2629,2018-03-14,106
2630,2018-03-15,106
2631,2018-03-16,106
2632,2018-03-17,106
2633,2018-03-18,106
2634,2018-03-19,106
2635,2018-03-20,106
2636,2018-03-21,106
2637,2018-03-22,106
2638,2018-03-23,106
2639,2018-03-24,106
2640,2018-03-25,106
2641,2018-03-26,106
2642,2018-03-27,106
2643,2018-03-28,106
2644,2018-03-29,106
2645,2018-03-30,106
2646,2018-03-31,106
2647,2018-04-01,106
2648,2018-04-02,106
2649,2018-04-03,106
2650,2018-04-04,106
2651,2018-04-05,106
2652,2018-04-06,106
2653,2018-04-07,106
2654,2018-04-08,106
2655,2018-04-09,106
2656,2018-04-10,106
2657,2018-04-11,106
2658,2018-04-12,106
2659,2018-04-13,106
2660,2018-04-14,106
2661,2018-04-15,106
2662,2018-04-16,106
2663,2018-04-17,106
2664,2018-04-18,106
2665,2018-04-19,106
2666,2018-04-20,106
2667,2018-04-21,106
2668,2018-04-22,106
2669,2018-04-23,106
2670,2018-04-24,106
2671,2018-04-25,106
2672,2018-04-26,106
2673,2018-04-27,106
2674,2018-04-28,106
2675,2018-04-29,106
2676,2018-04-30,106
2677,2018-05-01,106
2678,2018-05-02,106
2679,2018-05-03,106
2680,2018-05-04,106
2681,2018-05-05,106
2682,2018-05-06,106
2683,2018-05-07,106
2684,2018-05-08,106
2685,2018-05-09,106
2686,2018-05-10,106
2687,2018-05-11,106
2688,2018-05-12,106
2689,2018-05-13,106
2690,2018-05-14,106
2691,2018-05-15,106
2692,2018-05-16,106
2693,2018-05-17,106
2694,2018-05-18,106
2695,2018-05-19,106
2696,2018-05-20,106
2697,2018-05-21,106
2698,2018-05-22,106
2699,2018-05-23,106
2700,2018-05-24,106
2701,2018-05-25,106
2702,2018-05-26,106
2703,2018-05-27,106
2704,2018-05-28,106
2705,2018-05-29,106
2706,2018-05-30,106
